0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
192,0,0,0,104,38,0,7,72,1,0,58,0,0,0,63,255,0,255,253,0,20,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,20,109,37,37,0,0,0,0,0,109,106,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,110,38,0,7,73,1,0,57,0,0,0,63,255,0,255,253,0,20,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,20,106,37,37,0,0,0,0,0,109,106,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,92,38,0,7,74,1,0,56,0,0,0,63,255,0,255,253,0,18,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,18,106,37,37,0,0,0,0,0,109,99,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,110,38,0,7,75,1,0,55,0,0,0,63,255,0,255,253,0,16,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,16,99,37,37,0,0,0,0,0,109,99,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,80,38,0,7,76,1,0,54,0,0,0,63,255,0,255,253,0,14,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,14,99,37,37,0,0,0,0,0,109,89,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,110,38,0,7,77,1,0,53,0,0,0,63,255,0,255,253,0,12,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,12,89,37,37,0,0,0,0,0,109,89,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,68,38,0,7,78,1,0,52,0,0,0,63,255,0,255,253,0,10,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,10,89,37,37,0,0,0,0,0,109,78,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,110,38,0,7,79,1,0,51,0,0,0,63,255,0,255,253,0,8,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,8,78,37,37,0,0,0,0,0,109,78,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,58,38,0,7,80,1,0,50,0,0,0,63,255,0,255,253,0,6,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,6,78,37,37,0,0,0,0,0,109,68,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
192,0,0,0,110,38,0,7,81,1,0,49,0,0,0,63,255,0,255,253,0,6,0,24,128,32,1,86,247,86,247,86,247,134,243,245,243,240,240,242,242,32,32,64,64,64,188,65,189,0,6,68,37,37,0,0,0,0,0,109,68,37,37,192,192,192,192,1,192,202,247,202,247,202,247,202,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,236,242,121,240
